ocid,compiledRelease/id,compiledRelease/tag,compiledRelease/date,compiledRelease/ocid,compiledRelease/publishedDate,compiledRelease/initiationType,compiledRelease/buyer/id,compiledRelease/buyer/name,compiledRelease/planning/budget/description,compiledRelease/planning/budget/project,compiledRelease/planning/budget/projectID,compiledRelease/tender/id,compiledRelease/tender/title,compiledRelease/tender/description,compiledRelease/tender/procuringEntity/id,compiledRelease/tender/procuringEntity/name,compiledRelease/tender/datePublished,compiledRelease/tender/procurementMethodDetails,compiledRelease/tender/mainProcurementCategory,compiledRelease/tender/additionalProcurementCategories,compiledRelease/tender/value/amount,compiledRelease/tender/value/currency,compiledRelease/tender/value/currencyName,compiledRelease/tender/value/amount_PEN,compiledRelease/tender/tenderPeriod/startDate,compiledRelease/tender/tenderPeriod/endDate,compiledRelease/tender/enquiryPeriod/startDate,compiledRelease/tender/enquiryPeriod/endDate,compiledRelease/tender/enquiryPeriod/durationInDays,compiledRelease/tender/numberOfTenderers,compiledRelease/tender/hasTenderInformationProtectedByLaw,compiledRelease/dataSegmentation/id,compiledRelease/dataSegmentation/criteria,compiledRelease/tender/procurementMethod,compiledRelease/planning/budget/amount/amount,compiledRelease/planning/budget/amount/currency,compiledRelease/planning/budget/amount/currencyName
ocds-dgv273-seacev3-1251151,ocds-dgv273-seacev3-1251151-2026-09-18T10:23:24.566491-05:00,compiled,2026-09-18T10:23:24.566478-05:00,ocds-dgv273-seacev3-1251151,2026-09-18T10:23:24.566496-05:00,tender,PE-CONSUCODE-1157,MUNICIPALIDAD DISTRITAL DE LLAYLLA,Fondos Públicos,"RENOVACION DE PUENTE; EN EL(LA) CAMINO VECINAL (CODIGO DE RUTA JU 1567) EN EL CENTRO POBLADO PORVENIR  ( PUENTE LONG. =0.023 KM) EN EL CENTRO POBLADO PORVENIR, DISTRITO DE LLAYLLA, PROVINCIA SATIPO, DEPARTAMENTO JUNIN",2676565,1251151,LP-ABR-7-2026-MDLL/C-1,"EJECUCIÓN DE LA OBRA IOARR: ¿RENOVACION DE PUENTE; EN EL(LA) CAMINO VECINAL (CÓDIGO DE RUTA JU1567) EN EL CENTRO POBLADO PORVENIR (LONG. =0.023 KM) EN EL CENTRO POBLADO PORVENIR, DISTRITO DE LLAYLLA, PROVINCIA SATIPO, DEPARTAMENTO JUNIN¿.",PE-CONSUCODE-1157,MUNICIPALIDAD DISTRITAL DE LLAYLLA,2026-06-17T19:23:00-05:00,Licitación Pública Abreviada,works,works,3231949.99,PEN,Soles,3231949.99,2026-06-17T00:00:00-05:00,2026-06-17T00:00:00-05:00,2026-06-18T00:01:00-05:00,2026-06-22T23:59:00-05:00,4,24,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1246801,ocds-dgv273-seacev3-1246801-2026-09-18T10:23:23.796108-05:00,compiled,2026-09-18T10:23:23.796095-05:00,ocds-dgv273-seacev3-1246801,2026-09-18T10:23:23.796113-05:00,tender,PE-CONSUCODE-1057,MUNICIPALIDAD DISTRITAL DE RIO GRANDE - PALPA,Fondos Públicos,MEJORAMIENTO DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN EL CENTRO POBLADO LA ISLA   DISTRITO DE RIO GRANDE DE LA PROVINCIA DE PALPA DEL DEPARTAMENTO DE ICA,2672891,1246801,LP-ABR-1-2026-CS/MDRG-1,CONTRATACION PARA LA EJECUCION DE LA OBRA: MEJORAMIENTO DEL SERVICIO DE PRACTICA DEPORTIVA Y/O RECREATIVA EN EL CENTRO POBLADO LA ISLA DISTRITO DE RIO GRANDE DE LA PROVINCIA DE PALPA DEL DEPARTAMENTO DE ICA CON CUI N° 2672891,PE-CONSUCODE-1057,MUNICIPALIDAD DISTRITAL DE RIO GRANDE - PALPA,2026-06-30T22:25:00-05:00,Licitación Pública Abreviada,works,works,1466610.81,PEN,Soles,1466610.81,2026-06-30T00:00:00-05:00,2026-06-30T00:00:00-05:00,2026-07-01T00:01:00-05:00,2026-07-03T23:59:00-05:00,2,21,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1250346,ocds-dgv273-seacev3-1250346-2026-09-18T10:23:21.714997-05:00,compiled,2026-09-18T10:23:21.714984-05:00,ocds-dgv273-seacev3-1250346,2026-09-18T10:23:21.715002-05:00,tender,PE-CONSUCODE-1979,INSTITUTO NACIONAL DE SALUD,Fondos Públicos,,,1250346,LP-ABR-5-2026-INS-1,ADQUISICIÓN DE MEDIO DE TRANSPORTE VIRAL X 3 ML,PE-CONSUCODE-1979,INSTITUTO NACIONAL DE SALUD,2026-06-23T17:05:00-05:00,Licitación Pública Abreviada,goods,goods,0.0,PEN,Soles,0.0,2026-06-23T00:00:00-05:00,2026-06-23T00:00:00-05:00,2026-06-24T00:01:00-05:00,2026-06-26T23:59:00-05:00,2,,True,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-2026-1967-27,ocds-dgv273-seacev3-2026-1967-27-2026-09-18T10:23:21.640854-05:00,compiled,2026-09-18T10:23:21.640841-05:00,ocds-dgv273-seacev3-2026-1967-27,2026-09-18T10:23:21.640859-05:00,tender,PE-CONSUCODE-1967,INSTITUTO NACIONAL DE DEFENSA CIVIL,Fondos Públicos,,,1229387,CP SER-SM-5-2026-INDECI.-1,SEGURIDAD Y VIGILANCIA PARA DIRECCION DESCONCENTRADA DE PASCO,PE-CONSUCODE-1967,INSTITUTO NACIONAL DE DEFENSA CIVIL,2026-06-26T18:18:00-05:00,Concurso Público de Servicios,services,services,546967.2,PEN,Soles,546967.2,2026-06-26T00:00:00-05:00,2026-06-26T00:00:00-05:00,2026-06-27T00:01:00-05:00,2026-07-08T23:59:00-05:00,11,14,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1224465,ocds-dgv273-seacev3-1224465-2026-09-18T10:23:21.182243-05:00,compiled,2026-09-18T10:23:21.182231-05:00,ocds-dgv273-seacev3-1224465,2026-09-18T10:23:21.182249-05:00,tender,PE-CONSUCODE-1711,MUNICIPALIDAD DISTRITAL DE SANTA LUCIA - LAMPA,Fondos Públicos,"ADQUISICION DE RETROEXCAVADORA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE SANTA LUCIA  DISTRITO DE SANTA LUCIA, PROVINCIA LAMPA, DEPARTAMENTO PUNO",2710380,1224465,DIRECTA-DIRECTA-1-2026-MDSL-1,ADQUISICION DE RETROEXCAVADORA,PE-CONSUCODE-1711,MUNICIPALIDAD DISTRITAL DE SANTA LUCIA - LAMPA,2026-09-10T17:29:00-05:00,Contratación Directa,goods,goods,615040.0,PEN,Nuevos Soles,615040.0,,,,,,1,False,2026-06,añoPublicacionProceso;mesPublicacionProceso,direct,,,
ocds-dgv273-seacev3-1250498,ocds-dgv273-seacev3-1250498-2026-09-18T10:23:20.582176-05:00,compiled,2026-09-18T10:23:20.582164-05:00,ocds-dgv273-seacev3-1250498,2026-09-18T10:23:20.582181-05:00,tender,PE-CONSUCODE-1585,MUNICIPALIDAD DISTRITAL DE CASTILLA,Fondos Públicos,,,1250498,LP-ABR-10-2026-MDC-C-1,"EJECUCIÓN DE LA OBRA: ¿MEJORAMIENTO DE LOS SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN PARQUE CENTRAL TACALA, DISTRITO DE CASTILLA, PROVINCIA Y DEPARTAMENTO DE PIURA, CON CUI N°2681071",PE-CONSUCODE-1585,MUNICIPALIDAD DISTRITAL DE CASTILLA,2026-06-23T19:36:00-05:00,Licitación Pública Abreviada,works,works,1756368.6,PEN,Soles,1756368.6,2026-06-23T00:00:00-05:00,2026-06-23T00:00:00-05:00,2026-06-24T00:01:00-05:00,2026-06-26T23:59:00-05:00,2,41,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1230898,ocds-dgv273-seacev3-1230898-2026-09-18T10:23:19.972874-05:00,compiled,2026-09-18T10:23:19.972860-05:00,ocds-dgv273-seacev3-1230898,2026-09-18T10:23:19.972879-05:00,tender,PE-CONSUCODE-1982,INSTITUTO PERUANO DEL DEPORTE,Fondos Públicos,,,1230898,CP SER-SM-8-2026-IPD/CS-1,CONTRATACIÓN DE SERVICIO DE CUSTODIA Y GESTIÓN DE ALMACENAMIENTO Y DISTRIBUCIÓN PARA LOS BIENES DEPORTIVOS Y NO DEPORTIVOS DEL INSTITUTO PERUANO DEL DEPORTE,PE-CONSUCODE-1982,INSTITUTO PERUANO DEL DEPORTE,2026-06-30T20:25:00-05:00,Concurso Público de Servicios,services,services,0.0,PEN,Soles,0.0,2026-06-30T00:00:00-05:00,2026-06-30T00:00:00-05:00,2026-07-01T00:01:00-05:00,2026-07-22T23:59:00-05:00,21,,True,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-2026-23-14,ocds-dgv273-seacev3-2026-23-14-2026-09-18T10:23:18.625556-05:00,compiled,2026-09-18T10:23:18.625544-05:00,ocds-dgv273-seacev3-2026-23-14,2026-09-18T10:23:18.625562-05:00,tender,PE-CONSUCODE-23,MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO,Fondos Públicos,,,1228758,CP-ABR-8-2026-MTPE-1,SERVICIO DE SEGURO DE ACCIDENTES PERSONALES PARA EL MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO,PE-CONSUCODE-23,MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO,2026-06-25T15:28:00-05:00,Concurso Público Abreviado,services,services,0.0,USD,Dólar Norteamericano,0.0,2026-06-25T00:00:00-05:00,2026-06-25T00:00:00-05:00,2026-06-26T00:01:00-05:00,2026-07-01T23:59:00-05:00,5,,True,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1229667,ocds-dgv273-seacev3-1229667-2026-09-18T10:23:18.610455-05:00,compiled,2026-09-18T10:23:18.610441-05:00,ocds-dgv273-seacev3-1229667,2026-09-18T10:23:18.610460-05:00,tender,PE-CONSUCODE-1926,BANCO CENTRAL DE RESERVA DEL PERÚ,Fondos Públicos,,,1229667,LP-SM-13-2026-BCRPLIM-1,Adquisición de dos sistemas de videowall para Pagos Minoristas y GTI ¿ Local Carabaya,PE-CONSUCODE-1926,BANCO CENTRAL DE RESERVA DEL PERÚ,2026-06-30T16:12:00-05:00,Licitación Pública,goods,goods,542439.0,PEN,Soles,542439.0,2026-06-30T00:00:00-05:00,2026-06-30T00:00:00-05:00,2026-07-01T00:01:00-05:00,2026-07-09T23:59:00-05:00,8,19,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,open,,,
ocds-dgv273-seacev3-1228458,ocds-dgv273-seacev3-1228458-2026-09-18T10:23:18.558138-05:00,compiled,2026-09-18T10:23:18.558125-05:00,ocds-dgv273-seacev3-1228458,2026-09-18T10:23:18.558144-05:00,tender,PE-CONSUCODE-33,GOBIERNO REGIONAL DE ANCASH - SEDE CENTRAL,Fondos Públicos,,,1228458,AS-SM-96-2024-GRA/CS-5,"ADQUISICIÓN DE MÁQUINAS, EQUIPOS Y HERRAMIENTAS PARA LOS PLANES DE NEGOCIO DE LAS SIGUIENTES ASOCIACIONES: AEO EMPRESA GRUPO PROGRESO SAC DEL DISTRITO DE CARHUAZ, AEO EMPRESA V.G. WELDING SAC, DISTRITO DE INDEPENDENCIA, AEO CARPINTERIA LOS HERMANOS PUNTILLO NIVIN DEL DISTRITO DE TINCO, REGION ANCASH",PE-CONSUCODE-33,GOBIERNO REGIONAL DE ANCASH - SEDE CENTRAL,2026-06-24T17:05:00-05:00,Adjudicación Simplificada,goods,goods,442230.0,PEN,Soles,442230.0,2026-06-24T00:00:00-05:00,2026-06-24T00:00:00-05:00,2026-06-25T00:01:00-05:00,2026-06-26T23:59:00-05:00,1,13,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,open,442230.0,PEN,Soles
