ocid,compiledRelease/id,compiledRelease/awards/0/id,compiledRelease/awards/0/value/amount,compiledRelease/awards/0/value/currency,compiledRelease/awards/0/value/currencyName,compiledRelease/awards/0/date
ocds-dgv273-seacev3-1234324,ocds-dgv273-seacev3-1234324-2026-09-18T10:23:24.309937-05:00,1234324-1823072,121908.16,PEN,Soles,2026-08-28T00:00:00-05:00
ocds-dgv273-seacev3-1235712,ocds-dgv273-seacev3-1235712-2026-09-18T10:23:24.273414-05:00,1235712-1824516,2287157.86,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1244329,ocds-dgv273-seacev3-1244329-2026-09-18T10:23:24.085357-05:00,1244329-1828901,64380098.45,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1234128,ocds-dgv273-seacev3-1234128-2026-09-18T10:23:24.064031-05:00,1234128-20551260381,150000.0,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1235633,ocds-dgv273-seacev3-1235633-2026-09-18T10:23:23.962873-05:00,1235633-1818545,1468991.45,PEN,Soles,2026-08-13T00:00:00-05:00
ocds-dgv273-seacev3-1246193,ocds-dgv273-seacev3-1246193-2026-09-18T10:23:23.751163-05:00,1246193-20603787332,194990.0,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1235902,ocds-dgv273-seacev3-1235902-2026-09-18T10:23:23.664387-05:00,1235902-20502612710,127624.23,PEN,Soles,2026-08-25T00:00:00-05:00
ocds-dgv273-seacev3-1234694,ocds-dgv273-seacev3-1234694-2026-09-18T10:23:23.642877-05:00,1234694-20614190974,179800.0,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1233910,ocds-dgv273-seacev3-1233910-2026-09-18T10:23:23.586016-05:00,1233910-20128232584,81530.0,PEN,Soles,2026-08-11T00:00:00-05:00
ocds-dgv273-seacev3-1237421,ocds-dgv273-seacev3-1237421-2026-09-18T10:23:23.369672-05:00,1237421-1820048,226428.72,PEN,Soles,2026-09-03T00:00:00-05:00
ocds-dgv273-seacev3-1237613,ocds-dgv273-seacev3-1237613-2026-09-18T10:23:23.332411-05:00,1237613-20540726788,623400.0,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-1237825,ocds-dgv273-seacev3-1237825-2026-09-18T10:23:22.996419-05:00,1237825-20600728505,608080.4,PEN,Soles,2026-09-16T00:00:00-05:00
ocds-dgv273-seacev3-2026-2000-16,ocds-dgv273-seacev3-2026-2000-16-2026-09-18T10:23:22.342828-05:00,1235355-20518257723,2171670.72,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1232435,ocds-dgv273-seacev3-1232435-2026-09-18T10:23:22.189071-05:00,1232435-1819163,5417802.5,PEN,Soles,2026-08-17T00:00:00-05:00
ocds-dgv273-seacev3-1249309,ocds-dgv273-seacev3-1249309-2026-09-18T10:23:22.072420-05:00,1249309-10723726501,78658.47,PEN,Soles,2026-09-16T00:00:00-05:00
