ocid,compiledRelease/id,compiledRelease/tag,compiledRelease/date,compiledRelease/ocid,compiledRelease/publishedDate,compiledRelease/initiationType,compiledRelease/buyer/id,compiledRelease/buyer/name,compiledRelease/planning/budget/description,compiledRelease/planning/budget/project,compiledRelease/planning/budget/projectID,compiledRelease/tender/id,compiledRelease/tender/title,compiledRelease/tender/description,compiledRelease/tender/procuringEntity/id,compiledRelease/tender/procuringEntity/name,compiledRelease/tender/datePublished,compiledRelease/tender/procurementMethodDetails,compiledRelease/tender/mainProcurementCategory,compiledRelease/tender/additionalProcurementCategories,compiledRelease/tender/value/amount,compiledRelease/tender/value/currency,compiledRelease/tender/value/currencyName,compiledRelease/tender/value/amount_PEN,compiledRelease/tender/tenderPeriod/startDate,compiledRelease/tender/tenderPeriod/endDate,compiledRelease/tender/enquiryPeriod/startDate,compiledRelease/tender/enquiryPeriod/endDate,compiledRelease/tender/enquiryPeriod/durationInDays,compiledRelease/tender/hasTenderInformationProtectedByLaw,compiledRelease/dataSegmentation/id,compiledRelease/dataSegmentation/criteria,compiledRelease/tender/procurementMethod,compiledRelease/planning/budget/amount/amount,compiledRelease/planning/budget/amount/currency,compiledRelease/planning/budget/amount/currencyName,compiledRelease/tender/numberOfTenderers
ocds-dgv273-seacev3-1251220,ocds-dgv273-seacev3-1251220-2026-09-18T10:23:24.610182-05:00,compiled,2026-09-18T10:23:24.610169-05:00,ocds-dgv273-seacev3-1251220,2026-09-18T10:23:24.610187-05:00,tender,PE-CONSUCODE-1910,UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA,Fondos Públicos,MEJORAMIENTO SERVICIO DE FORMACIÓN PROFESIONAL E INVESTIGACIÓN DE LA BIODIVERSIDAD Y EL ECOSISTEMA EN LA FACULTAD DE CIENCIAS BIOLÓGICAS DE LA UNSCH - DISTRITO DE AYACUCHO - PROVINCIA DE HUAMANGA - REGIÓN AYACUCHO,2402381,1251220,CP-ABR-6-2026-UNSCH/OC-1,SERVICIO DE SUMINISTRO E INSTALACION DE SISTEMA DE MURO CORTINA CON VENTANAS PROYECTANTES Y BASE DE ESTRUCTURA DE ALUMINIO DE 2MM Y VIDRIO TEMPLADO DE 8MM A TODO COSTO PARA LA META 002 MEJORAMIENTO SERVICIO DE FORMACION PROFESIONAL E INVESTIGACION DE LA BIODIVERSIDAD Y EL ECOSISTEMA EN LA FACULTAD D,PE-CONSUCODE-1910,UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA,2026-07-21T16:12:00-05:00,Concurso Público Abreviado,services,services,0.0,PEN,Soles,0.0,2026-07-21T00:00:00-05:00,2026-07-21T00:00:00-05:00,2026-07-22T00:01:00-05:00,2026-07-30T23:59:00-05:00,8,True,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,,,,
ocds-dgv273-seacev3-1236523,ocds-dgv273-seacev3-1236523-2026-09-18T10:23:24.325607-05:00,compiled,2026-09-18T10:23:24.325594-05:00,ocds-dgv273-seacev3-1236523,2026-09-18T10:23:24.325612-05:00,tender,PE-CONSUCODE-850,MUNICIPALIDAD PROVINCIAL DE URUBAMBA,Fondos Públicos,"ADQUISICION DE EQUIPO DE ALMACENAMIENTO, CAMION BARANDA, CAMION COMPACTADOR Y VEHICULO PARA SUPERVISION; ADEMÁS DE OTROS ACTIVOS EN EL(LA) RECOLECCION DE RR.SS EN SITIOS ARQUEOLOGICOS DEL  DISTRITO DE URUBAMBA, PROVINCIA URUBAMBA, DEPARTAMENTO CUSCO",2712816,1236523,LP-SM-3-2026-MPU/CS-1,"CONTRATACION DE EQUIPOS DE ALMACENAMIENTO, CAMION BARANDA, CAMION COMPACTADOR Y VEHICULO PARA SUPERVICION; ADEMAS DE OTROS ACTIVOS EN LA RECOLECCION DE RR. SS. EN LOS SITIOS ARQUEOLOGICOS DEL DISTRITO DE URUBAMBA, PROVINCIA DE URUBAMBA - CUSCO.",PE-CONSUCODE-850,MUNICIPALIDAD PROVINCIAL DE URUBAMBA,2026-07-22T20:37:00-05:00,Licitación Pública,goods,goods,0.0,PEN,Soles,0.0,2026-07-22T00:00:00-05:00,2026-07-22T00:00:00-05:00,2026-07-23T00:01:00-05:00,2026-08-12T23:59:00-05:00,20,True,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,open,,,,
ocds-dgv273-seacev3-1234324,ocds-dgv273-seacev3-1234324-2026-09-18T10:23:24.309937-05:00,compiled,2026-09-18T10:23:24.309924-05:00,ocds-dgv273-seacev3-1234324,2026-09-18T10:23:24.309942-05:00,tender,PE-CONSUCODE-224,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,Fondos Públicos,,,1234324,CP-ABR-108-2026-MDSM/CS-1,CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA DE OBRA PARA LA FORMULACIÓN DEL ESTUDIO DE PRE INVERSIÓN A NIVEL DE FICHA TÉCNICA: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL EN EL CASERIO DE PISHIPUQUIO DEL CENTRO POBLADO DE HUARIPAMPA ALTO DISTRITO DE SAN MARCOS DE LA PROVINCIA DE HUARI,PE-CONSUCODE-224,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,2026-07-21T23:56:00-05:00,Concurso Público Abreviado,services,services,121908.16,PEN,Soles,121908.16,2026-07-21T00:00:00-05:00,2026-07-21T00:00:00-05:00,2026-07-22T00:01:00-05:00,2026-07-30T23:59:00-05:00,8,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,121908.16,PEN,Soles,8
ocds-dgv273-seacev3-1235712,ocds-dgv273-seacev3-1235712-2026-09-18T10:23:24.273414-05:00,compiled,2026-09-18T10:23:24.273402-05:00,ocds-dgv273-seacev3-1235712,2026-09-18T10:23:24.273419-05:00,tender,PE-CONSUCODE-34,GOBIERNO REGIONAL DE AREQUIPA Sede Central,Fondos Públicos,"MEJORAMIENTO DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN LA GERENCIA REGIONAL DE COMERCIO EXTERIOR Y TURISMO DEL GOBIERNO REGIONAL DE AREQUIPA,   DISTRITO DE AREQUIPA DE LA PROVINCIA DE AREQUIPA DEL DEPARTAMENTO DE AREQUIPA",2614768,1235712,LP-ABR-48-2026-GRA-1,"EJECUCION DE OBRA: MEJORAMIENTO DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN LA GERENCIA REGIONAL DE COMERCIO EXTERIOR Y TURISMO DEL GOBIERNO REGIONAL DE AREQUIPA, DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, REGION AREQUIPA ¿ CUI N° 2614768",PE-CONSUCODE-34,GOBIERNO REGIONAL DE AREQUIPA Sede Central,2026-07-21T15:40:00-05:00,Licitación Pública Abreviada,works,works,2407534.57,PEN,Soles,2407534.57,2026-07-21T00:00:00-05:00,2026-07-21T00:00:00-05:00,2026-07-22T00:01:00-05:00,2026-07-30T23:59:00-05:00,8,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,,,,24
ocds-dgv273-seacev3-1232957,ocds-dgv273-seacev3-1232957-2026-09-18T10:23:24.107957-05:00,compiled,2026-09-18T10:23:24.107943-05:00,ocds-dgv273-seacev3-1232957,2026-09-18T10:23:24.107962-05:00,tender,PE-CONSUCODE-200363,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,Fondos Públicos,,,1232957,LP-SM-12-2026-CENARES/ MINSA-1,ADQUISICION DE DISPOSITIVOS MÉDICOS¿COMPRA CENTRALIZADA PARA EL ABASTECIMIENTO POR UN PERIODO DE DOCE (12) MESES¿CATORCE (14) ITEMS,PE-CONSUCODE-200363,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,2026-07-10T16:43:00-05:00,Licitación Pública,goods,goods,0.0,PEN,Soles,0.0,2026-07-10T00:00:00-05:00,2026-07-10T00:00:00-05:00,2026-07-11T00:01:00-05:00,2026-07-27T23:59:00-05:00,16,True,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,open,,,,
ocds-dgv273-seacev3-1244329,ocds-dgv273-seacev3-1244329-2026-09-18T10:23:24.085357-05:00,compiled,2026-09-18T10:23:24.085343-05:00,ocds-dgv273-seacev3-1244329,2026-09-18T10:23:24.085362-05:00,tender,PE-CONSUCODE-20005,GOBIERNO REGIONAL DE CALLAO SEDE CENTRAL,Fondos Públicos,AMPLIACION DE LOS SERVICIOS DE EDUCACIÓN SUPERIOR TECNOLÓGICA DEL IESP SIMÓN BOLÍVAR  DISTRITO DE VENTANILLA - PROVINCIA CONSTITUCIONAL DEL CALLAO - DEPARTAMENTO DE CALLAO,2553376,1244329,LP-SM-8-2026-GRC-C-1,"EJECUCION OBRA AMPLIACION DE LOS SERVICIOS DE EDUCACIÓN SUPERIOR TECNOLÓGICA DEL IESP SIMÓN BOLÍVAR, DISTRITO DE VENTANILLA  PROVINCIA CONSTITUCIONAL DEL CALLAO DEPARTAMENTO DEL CALLAO CUI N° 2553376 LINK DE EXPEDIENTE  TECNICO\nhttps://drive.google.com/drive/folders/1VnTWKV3xg3aQl0nevvYXOl11LaUdE9g_",PE-CONSUCODE-20005,GOBIERNO REGIONAL DE CALLAO SEDE CENTRAL,2026-07-16T21:49:00-05:00,Licitación Pública,works,works,64380098.45,PEN,Soles,64380098.45,2026-07-16T00:00:00-05:00,2026-07-16T00:00:00-05:00,2026-07-17T00:01:00-05:00,2026-08-05T23:59:00-05:00,19,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,open,,,,20
ocds-dgv273-seacev3-1234128,ocds-dgv273-seacev3-1234128-2026-09-18T10:23:24.064031-05:00,compiled,2026-09-18T10:23:24.064018-05:00,ocds-dgv273-seacev3-1234128,2026-09-18T10:23:24.064037-05:00,tender,PE-CONSUCODE-37,GOBIERNO REGIONAL DE CUSCO SEDE CENTRAL,Fondos Públicos,MEJORAMIENTO DE LA OFERTA DE SERVICIOS EDUCATIVOS EN EL NIVEL PRIMARIO Y SECUNDARIO EN LA INSTITUCIÓN EDUCATIVA INTEGRADA N° 56373 DANIEL ESTRADA PEREZ  DEL POBLADO DE MOSOC LLACTA DEL DISTRITO DE MOSOC LLACTA - PROVINCIA DE ACOMAYO - DEPARTAMENTO DE CUSCO,2286303,1234128,LP-ABR-136-2026-GR CUSCO-1,CONTRATACION DE MOBILIARIO DE MELAMINA Y MADERA,PE-CONSUCODE-37,GOBIERNO REGIONAL DE CUSCO SEDE CENTRAL,2026-07-15T14:12:00-05:00,Licitación Pública Abreviada,goods,goods,102307.2,PEN,Soles,102307.2,2026-07-15T00:00:00-05:00,2026-07-15T00:00:00-05:00,2026-07-16T00:01:00-05:00,2026-07-20T23:59:00-05:00,4,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,,,,55
ocds-dgv273-seacev3-1235633,ocds-dgv273-seacev3-1235633-2026-09-18T10:23:23.962873-05:00,compiled,2026-09-18T10:23:23.962860-05:00,ocds-dgv273-seacev3-1235633,2026-09-18T10:23:23.962879-05:00,tender,PE-CONSUCODE-747,MUNICIPALIDAD DISTRITAL DE VENTANILLA,Fondos Públicos,"REMODELACION DE ESPACIO DE RECREACION PASIVA; ADQUISICION DE AMBIENTE DE JUEGOS RECREATIVOS Y EQUIPAMIENTO DE AMBIENTES COMPLEMENTARIOS; EN EL(LA) PARQUE ENTRE LAS CALLE 1 Y CALLE 9 DE LA URBANIZACIÓN PEDRO CUEVA VASQUEZ  DISTRITO DE VENTANILLA, PROVINCIA CONSTITUCIONAL DEL CALLAO, DEPARTAMENTO CALLAO",2717450,1235633,LP-ABR-5-2026-CS-MDV-1,"CONTRATACION DE LA EJECUCIÓN DE OBRA: ¿REMODELACION DE ESPACIO DE RECREACION PASIVA; ADQUISICION DE AMBIENTE DE JUEGOS RECREATIVOS Y EQUIPAMIENTO DE AMBIENTES COMPLEMENTARIOS; EN EL(LA) PARQUE ENTRE LAS CALLE 1 Y CALLE 9 DE LA URBANIZACIÓN PEDRO CUEVA VASQUEZ DISTRITO DE VENTANILLA, PROVINCIA CONSTI",PE-CONSUCODE-747,MUNICIPALIDAD DISTRITAL DE VENTANILLA,2026-07-22T20:01:00-05:00,Licitación Pública Abreviada,works,works,1468991.45,PEN,Soles,1468991.45,2026-07-22T00:00:00-05:00,2026-07-22T00:00:00-05:00,2026-07-23T00:01:00-05:00,2026-07-31T23:59:00-05:00,8,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,1468991.45,PEN,Soles,4
ocds-dgv273-seacev3-1237605,ocds-dgv273-seacev3-1237605-2026-09-18T10:23:23.779102-05:00,compiled,2026-09-18T10:23:23.779089-05:00,ocds-dgv273-seacev3-1237605,2026-09-18T10:23:23.779108-05:00,tender,PE-CONSUCODE-10217,HOSPITAL DE EMERGENCIAS - JOSÉ CASIMIRO ULLOA,Fondos Públicos,,,1237605,LP-ABR-5-2026-HEJCU-1,SUMINISTRO DE REACTIVO DE MARCADORES\nCARDIACOS CON EQUIPO CESION EN USO,PE-CONSUCODE-10217,HOSPITAL DE EMERGENCIAS - JOSÉ CASIMIRO ULLOA,2026-07-31T15:22:00-05:00,Licitación Pública Abreviada,goods,goods,270360.0,PEN,Soles,270360.0,2026-07-31T00:00:00-05:00,2026-07-31T00:00:00-05:00,2026-08-01T00:01:00-05:00,2026-08-05T23:59:00-05:00,4,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,,,,9
ocds-dgv273-seacev3-1246193,ocds-dgv273-seacev3-1246193-2026-09-18T10:23:23.751163-05:00,compiled,2026-09-18T10:23:23.751150-05:00,ocds-dgv273-seacev3-1246193,2026-09-18T10:23:23.751169-05:00,tender,PE-CONSUCODE-10595,GOBIERNO REGIONAL DE SAN MARTIN-SALUD,Fondos Públicos,,,1246193,CP-ABR-12-2026-OGESS-BM/C-1,"CONTRATACIÓN DEL ""SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO  DE LOS EQUIPOS DE GASES MEDICINALES DEL CENTRO DE SALUD I-4 PICOTA¿",PE-CONSUCODE-10595,GOBIERNO REGIONAL DE SAN MARTIN-SALUD,2026-07-24T16:43:00-05:00,Concurso Público Abreviado,services,services,199700.0,PEN,Soles,199700.0,2026-07-24T00:00:00-05:00,2026-07-24T00:00:00-05:00,2026-07-25T00:01:00-05:00,2026-08-03T23:59:00-05:00,9,False,2026-07,añoInicioConvocatoria;mesInicioConvocatoria,,,,,15
