ocid,compiledRelease/id,compiledRelease/parties/0/id,compiledRelease/parties/0/name,compiledRelease/parties/0/identifier/id,compiledRelease/parties/0/identifier/scheme,compiledRelease/parties/0/identifier/legalName,compiledRelease/parties/0/address/streetAddress,compiledRelease/parties/0/address/locality,compiledRelease/parties/0/address/region,compiledRelease/parties/0/address/department,compiledRelease/parties/0/address/countryName,compiledRelease/parties/0/contactPoint/telephone,compiledRelease/parties/0/contactPoint/url,compiledRelease/parties/0/roles,compiledRelease/parties/0/contactPoint/email
ocds-dgv273-seacev3-1251159,ocds-dgv273-seacev3-1251159-2026-09-18T10:23:24.489217-05:00,PE-CONSUCODE-27,OFICINA NACIONAL DE PROCESOS ELECTORALES,27,PE-CONSUCODE,OFICINA NACIONAL DE PROCESOS ELECTORALES,JR WASHINGTON 1894,LIMA,LIMA,LIMA,PERU,4170630,https://WWW.ONPE.GOB.PE,buyer;procuringEntity,
ocds-dgv273-seacev3-1251159,ocds-dgv273-seacev3-1251159-2026-09-18T10:23:24.489217-05:00,PE-RUC-20539765061,POLYFLEX GROUP S.A.C.,20539765061,PE-RUC,POLYFLEX GROUP S.A.C.,,,,,PERU,Ver dato en ficha del proveedor,,tenderer;supplier,Ver datos en Ficha del Proveedor
ocds-dgv273-seacev3-1251159,ocds-dgv273-seacev3-1251159-2026-09-18T10:23:24.489217-05:00,PE-RUC-20603236549,TECHNOFLEX L & L S.A.C.,20603236549,PE-RUC,TECHNOFLEX L & L S.A.C.,,,,,PERU,Ver dato en ficha del proveedor,,tenderer,Ver datos en Ficha del Proveedor
ocds-dgv273-seacev3-1246642,ocds-dgv273-seacev3-1246642-2026-09-18T10:23:24.218374-05:00,PE-CONSUCODE-200117,GOBIERNO REGIONAL DE CUSCO - UNIDAD EJECUTORA HOSPITAL ANTONIO LORENA,200117,PE-CONSUCODE,GOBIERNO REGIONAL DE CUSCO - UNIDAD EJECUTORA HOSPITAL ANTONIO LORENA,PLAZOLETA BELEN 1358 SANTIAGO CUSCO,SANTIAGO,CUSCO,CUSCO,PERU,247119,,buyer;procuringEntity,
ocds-dgv273-seacev3-1246642,ocds-dgv273-seacev3-1246642-2026-09-18T10:23:24.218374-05:00,PE-RUC-20545696372,CYNSOF COMPANY S.A.C,20545696372,PE-RUC,CYNSOF COMPANY S.A.C,,,,,,Ver dato en ficha del proveedor,,tenderer,Ver datos en Ficha del Proveedor
ocds-dgv273-seacev3-1246642,ocds-dgv273-seacev3-1246642-2026-09-18T10:23:24.218374-05:00,PE-RUC-20524590876,MEDIDEN SOCIEDAD ANONIMA CERRADA - MEDIDEN S.A.C.,20524590876,PE-RUC,MEDIDEN SOCIEDAD ANONIMA CERRADA - MEDIDEN S.A.C.,,,,,,Ver dato en ficha del proveedor,,tenderer,Ver datos en Ficha del Proveedor
ocds-dgv273-seacev3-1246642,ocds-dgv273-seacev3-1246642-2026-09-18T10:23:24.218374-05:00,PE-RUC-20564106861,HAMPI KALLPA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,20564106861,PE-RUC,HAMPI KALLPA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,,,,,,Ver dato en ficha del proveedor,,tenderer,Ver datos en Ficha del Proveedor
ocds-dgv273-seacev3-1246642,ocds-dgv273-seacev3-1246642-2026-09-18T10:23:24.218374-05:00,PE-RUC-20415955821,VISCANDINA S.A.C.,20415955821,PE-RUC,VISCANDINA S.A.C.,,,,,,Ver dato en ficha del proveedor,,tenderer;supplier,Ver datos en Ficha del Proveedor
ocds-dgv273-seacev3-2026-2396-31,ocds-dgv273-seacev3-2026-2396-31-2026-09-18T10:23:24.211569-05:00,PE-CONSUCODE-2396,EMPRESA DE GENERACION ELECTRICA MACHUPICCHU,2396,PE-CONSUCODE,EMPRESA DE GENERACION ELECTRICA MACHUPICCHU,MACHUPICCHU S/N. CENTRAL TÉRMICA DOLORESPATA,CUSCO,CUSCO,CUSCO,PERU,084211150,,buyer;procuringEntity,
ocds-dgv273-seacev3-1243382,ocds-dgv273-seacev3-1243382-2026-09-18T10:23:24.196821-05:00,PE-CONSUCODE-49,GOBIERNO REGIONAL DE PUNO SEDE CENTRAL,49,PE-CONSUCODE,GOBIERNO REGIONAL DE PUNO SEDE CENTRAL,JR.DEUSTUA 356,PUNO,PUNO,PUNO,PERU,054 3517,,buyer;procuringEntity,
