ocid,compiledRelease/id,compiledRelease/tag,compiledRelease/date,compiledRelease/ocid,compiledRelease/publishedDate,compiledRelease/initiationType,compiledRelease/buyer/id,compiledRelease/buyer/name,compiledRelease/planning/budget/description,compiledRelease/tender/id,compiledRelease/tender/title,compiledRelease/tender/description,compiledRelease/tender/procuringEntity/id,compiledRelease/tender/procuringEntity/name,compiledRelease/tender/datePublished,compiledRelease/tender/procurementMethod,compiledRelease/tender/procurementMethodDetails,compiledRelease/tender/mainProcurementCategory,compiledRelease/tender/additionalProcurementCategories,compiledRelease/tender/value/amount,compiledRelease/tender/value/currency,compiledRelease/tender/value/currencyName,compiledRelease/tender/value/amount_PEN,compiledRelease/tender/tenderPeriod/startDate,compiledRelease/tender/tenderPeriod/endDate,compiledRelease/tender/numberOfTenderers,compiledRelease/tender/hasTenderInformationProtectedByLaw,compiledRelease/dataSegmentation/id,compiledRelease/dataSegmentation/criteria,compiledRelease/planning/budget/amount/amount,compiledRelease/planning/budget/amount/currency,compiledRelease/planning/budget/amount/currencyName,compiledRelease/tender/enquiryPeriod/startDate,compiledRelease/tender/enquiryPeriod/endDate,compiledRelease/tender/enquiryPeriod/durationInDays,compiledRelease/planning/budget/project,compiledRelease/planning/budget/projectID
ocds-dgv273-seacev3-1251159,ocds-dgv273-seacev3-1251159-2026-09-18T10:23:24.489217-05:00,compiled,2026-09-18T10:23:24.489204-05:00,ocds-dgv273-seacev3-1251159,2026-09-18T10:23:24.489222-05:00,tender,PE-CONSUCODE-27,OFICINA NACIONAL DE PROCESOS ELECTORALES,Fondos Públicos,1251159,RES-PROC-19-2026-ERM-ONPE-1,ADQUISICION DE SOBRE IMPRESO DE POLIETILENO - ERM 2026,PE-CONSUCODE-27,OFICINA NACIONAL DE PROCESOS ELECTORALES,2026-09-17T18:51:00-05:00,open,Regímen Especial,goods,goods,490000.0,PEN,Soles,490000.0,2026-08-11T00:00:00-05:00,2026-08-11T00:00:00-05:00,2,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,,,,,
ocds-dgv273-seacev3-1246642,ocds-dgv273-seacev3-1246642-2026-09-18T10:23:24.218374-05:00,compiled,2026-09-18T10:23:24.218361-05:00,ocds-dgv273-seacev3-1246642,2026-09-18T10:23:24.218379-05:00,tender,PE-CONSUCODE-200117,GOBIERNO REGIONAL DE CUSCO - UNIDAD EJECUTORA HOSPITAL ANTONIO LORENA,Fondos Públicos,1246642,LP-ABR-13-2026-UEHAL-1,"CONTRATACION DE: ""SET DE TRAQUEOSTOMIA PERCUTANEA Nº 7 X 15 PIEZAS Y Nº 8 X 15 PIEZAS PARA EL SERVICIO DE UCI-UCIN DE LA UNIDAD EJECUTORA 403 HOSPITAL ANTONIO LORENA""",PE-CONSUCODE-200117,GOBIERNO REGIONAL DE CUSCO - UNIDAD EJECUTORA HOSPITAL ANTONIO LORENA,2026-08-13T16:44:00-05:00,,Licitación Pública Abreviada,goods,goods,104500.0,PEN,Soles,104500.0,2026-08-13T00:00:00-05:00,2026-08-13T00:00:00-05:00,4,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,104500.0,PEN,Soles,2026-08-14T00:01:00-05:00,2026-08-19T23:59:00-05:00,5,,
ocds-dgv273-seacev3-2026-2396-31,ocds-dgv273-seacev3-2026-2396-31-2026-09-18T10:23:24.211569-05:00,compiled,2026-09-18T10:23:24.211556-05:00,ocds-dgv273-seacev3-2026-2396-31,2026-09-18T10:23:24.211575-05:00,tender,PE-CONSUCODE-2396,EMPRESA DE GENERACION ELECTRICA MACHUPICCHU,Fondos Públicos,1246155,LP-ABR-4-2026-EGEMSA-1,ADQUISICION DE REGISTRADORES DE FALLA PARA I FASE CHM,PE-CONSUCODE-2396,EMPRESA DE GENERACION ELECTRICA MACHUPICCHU,2026-08-31T22:35:00-05:00,,Licitación Pública Abreviada,goods,goods,0.0,USD,Dólar Norteamericano,0.0,2026-08-31T00:00:00-05:00,2026-08-31T00:00:00-05:00,,True,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-09-01T00:01:00-05:00,2026-09-03T23:59:00-05:00,2,,
ocds-dgv273-seacev3-1243382,ocds-dgv273-seacev3-1243382-2026-09-18T10:23:24.196821-05:00,compiled,2026-09-18T10:23:24.196807-05:00,ocds-dgv273-seacev3-1243382,2026-09-18T10:23:24.196826-05:00,tender,PE-CONSUCODE-49,GOBIERNO REGIONAL DE PUNO SEDE CENTRAL,Fondos Públicos,1243382,COMPRE-COMPRE-48-2026-OC/GR PUNO-2,"ADQUISICION DE ZARANDA ESTATICA SEGÚN REQUERIMIENTO Y ESPECIFICACIONES TECNICAS PARA EL PROYECTO MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN LA CARRETERA PU 1233(ILAVE) ANOKARIRI (EMP - 1234) - ANOKARIRI SACUYO SECTOR NUEVA ALIANZA, PU 1103 (SECTOR NUEVA ALIANZA) EMP PE 36P (LAR",PE-CONSUCODE-49,GOBIERNO REGIONAL DE PUNO SEDE CENTRAL,2026-08-21T09:44:00-05:00,open,Comparación de Precios,goods,goods,78000.0,PEN,Soles,78000.0,2026-08-21T00:00:00-05:00,2026-08-21T00:00:00-05:00,3,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,78000.0,PEN,Soles,,,,"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN LA CARRETERA PU - 1233 (ILAVE) - ANOKARIRI (EMP. - 1234) , ANOKARIRI - SACUYO - SECTOR NUEVA ALIANZA, PU 1103 (SECTOR NUEVA ALIANZA) - EMP. PE 36P (LARAQUERI PICHACANI)   DISTRITOS DE ILAVE, ACORA DE LAS PROVINCIAS DE EL COLLAO, PUNO DEL DEPARTAMENTO DE PUNO",2603167
ocds-dgv273-seacev3-1240386,ocds-dgv273-seacev3-1240386-2026-09-18T10:23:24.189823-05:00,compiled,2026-09-18T10:23:24.189808-05:00,ocds-dgv273-seacev3-1240386,2026-09-18T10:23:24.189828-05:00,tender,PE-CONSUCODE-403,MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,Fondos Públicos,1240386,LP-SM-2-2026-MDMM-1-1,"EJECUCION DE LA OBRA: MEJORAMIENTO DEL SERVICIO RECREATIVO DEL COMPLEJO MULTIDEPORTIVO MARACANA EN EL PUEBLO JOVEN GENERALISIMO JOSE DE SAN MARTIN ZONA A MZ. 17A LOTE 1 DEL DISTRITO DE MARIANO MELGAR, PROVINCIA DE AREQUIPA, DEPARTAMENTO DE AREQUIPA¿ I ETAPA, CUI Nº 2475036",PE-CONSUCODE-403,MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,2026-08-11T16:42:00-05:00,open,Licitación Pública,works,works,9678857.0,PEN,Soles,9678857.0,2026-08-11T00:00:00-05:00,2026-08-11T00:00:00-05:00,,True,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-12T00:01:00-05:00,2026-08-20T23:59:00-05:00,8,"MEJORAMIENTO DEL SERVICIO RECREATIVO DEL COMPLEJO MULTIDEPORTIVO MARACANA EN EL PUEBLO JOVEN GENERALISIMO JOSE DE SAN MARTIN ZONA A, MZ 17A LOTE 1 DEL DISTRITO DE MARIANO MELGAR - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA",2475036
ocds-dgv273-seacev3-1246804,ocds-dgv273-seacev3-1246804-2026-09-18T10:23:24.173978-05:00,compiled,2026-09-18T10:23:24.173965-05:00,ocds-dgv273-seacev3-1246804,2026-09-18T10:23:24.173984-05:00,tender,PE-CONSUCODE-207,MUNICIPALIDAD DISTRITAL DE CUSCA,Fondos Públicos,1246804,LP-SM-1-2026-MDC/C-1,"CONTRATACION PARA LA EJECUCION DE LA OBRA: ¿MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE MOVILIDAD URBANA EN LA LOCALIDAD DE CUSCA, DISTRITO DE CUSCA DE LA PROVINCIA DE CORONGO DEL DEPARTAMENTO DE ANCASH¿ CON CUI N° 2630952",PE-CONSUCODE-207,MUNICIPALIDAD DISTRITAL DE CUSCA,2026-08-07T12:00:00-05:00,open,Licitación Pública,works,works,6893593.39,PEN,Soles,6893593.39,2026-08-07T00:00:00-05:00,2026-08-07T00:00:00-05:00,19,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-08T00:01:00-05:00,2026-08-18T23:59:00-05:00,10,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE MOVILIDAD URBANA EN LA LOCALIDAD DE CUSCA,   DISTRITO DE CUSCA DE LA PROVINCIA DE CORONGO DEL DEPARTAMENTO DE ANCASH",2630952
ocds-dgv273-seacev3-2026-10182-11,ocds-dgv273-seacev3-2026-10182-11-2026-09-18T10:23:24.143456-05:00,compiled,2026-09-18T10:23:24.143443-05:00,ocds-dgv273-seacev3-2026-10182-11,2026-09-18T10:23:24.143462-05:00,tender,PE-CONSUCODE-10182,DIRECCION REGIONAL DE EDUCACION  DE  LIMA METROPOLITANA,Fondos Públicos,1242703,CP-ABR-13-2026-DRELM-1,ACONDICIONAMIENTO DE AMBIENTE PARA INSTALACION DE  PLATAFORMA ELEVADORA  EN EL IESTP. FE Y ALEGRIA 61 - SANTA RAFAELA MARIA,PE-CONSUCODE-10182,DIRECCION REGIONAL DE EDUCACION  DE  LIMA METROPOLITANA,2026-08-19T20:46:00-05:00,,Concurso Público Abreviado,services,services,169959.98,PEN,Soles,169959.98,2026-08-19T00:00:00-05:00,2026-08-19T00:00:00-05:00,33,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-20T00:01:00-05:00,2026-08-24T23:59:00-05:00,4,,
ocds-dgv273-seacev3-2026-1921-69,ocds-dgv273-seacev3-2026-1921-69-2026-09-18T10:23:24.130387-05:00,compiled,2026-09-18T10:23:24.130375-05:00,ocds-dgv273-seacev3-2026-1921-69,2026-09-18T10:23:24.130392-05:00,tender,PE-CONSUCODE-1921,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,Fondos Públicos,1238553,CP CON-SM-4-2026-OSINERGMIN-1,CONTRATACION DEL SERVICIO DE CONSULTORIA PARA LA DETERMINACIÓN DE LOS TIEMPOS Y MOVIMIENTOS DE CONEXIONES Y CORTE Y RECONEXION 2027-2031,PE-CONSUCODE-1921,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,2026-08-04T17:02:00-05:00,,Concurso Público para Consultoría,services,services,779775.0,PEN,Soles,779775.0,2026-08-04T00:00:00-05:00,2026-08-04T00:00:00-05:00,2,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-05T00:01:00-05:00,2026-08-14T23:59:00-05:00,9,,
ocds-dgv273-seacev3-1245057,ocds-dgv273-seacev3-1245057-2026-09-18T10:23:24.123759-05:00,compiled,2026-09-18T10:23:24.123746-05:00,ocds-dgv273-seacev3-1245057,2026-09-18T10:23:24.123765-05:00,tender,PE-CONSUCODE-202805,MUNICIPALIDAD DISTRITAL DE SAN PABLO DE PILLAO,Fondos Públicos,1245057,CP CON-SM-2-2026-MDSPP/CS-1,"contratación de consultoría para la supervisión de la ejecución de obra: ""CREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LAS LOCALIDADES DE CHACAMARCA Y NUEVA FLORIDA DISTRITO DE SAN PABLO DE PILLAO - PROVINCIA DE HUANUCO - DEPARTAMENTO DE HUANUCO¿",PE-CONSUCODE-202805,MUNICIPALIDAD DISTRITAL DE SAN PABLO DE PILLAO,2026-08-31T18:26:00-05:00,,Concurso Público para Consultoría,services,services,693046.11,PEN,Soles,693046.11,2026-08-31T00:00:00-05:00,2026-08-31T00:00:00-05:00,,True,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-09-01T00:01:00-05:00,2026-09-16T23:59:00-05:00,15,CREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LAS LOCALIDADES DE CHACAMARCA Y NUEVA FLORIDA  DISTRITO DE SAN PABLO DE PILLAO - PROVINCIA DE HUANUCO - DEPARTAMENTO DE HUANUCO,2515087
ocds-dgv273-seacev3-1245233,ocds-dgv273-seacev3-1245233-2026-09-18T10:23:24.116726-05:00,compiled,2026-09-18T10:23:24.116698-05:00,ocds-dgv273-seacev3-1245233,2026-09-18T10:23:24.116731-05:00,tender,PE-CONSUCODE-404,MUNICIPALIDAD DISTRITAL DE MIRAFLORES - AREQUIPA,Fondos Públicos,1245233,LP-SM-3-2026-MDM-1,"MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN LA ZONA A Y B DE LA ASOCIACION DE VIVIENDA TALLER GRANJA LOS GIRASOLES, DISTRITO DE MIRAFLORES ¿ PROVINCIA DE AREQUIPA ¿ DEPARTAMENTO DE AREQUIPA - CUI 2571538 - PRIMERA ETAPA",PE-CONSUCODE-404,MUNICIPALIDAD DISTRITAL DE MIRAFLORES - AREQUIPA,2026-08-28T09:51:00-05:00,open,Licitación Pública,works,works,8835362.58,PEN,Soles,8835362.58,2026-08-28T00:00:00-05:00,2026-08-28T00:00:00-05:00,,True,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-29T00:01:00-05:00,2026-09-08T23:59:00-05:00,10,"MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN LA ZONA A Y B DE LA ASOCIACIÓN DE VIVIENDA TALLER GRANJA LOS GIRASOLES,  DISTRITO DE MIRAFLORES - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA",2571538
